data_context,cohort_month,cohort_index,active_customers,orders,net_revenue,profit,cohort_size,month_0_revenue,retention_rate,revenue_retention_rate
Synthetic portfolio data,2023-01,0,375,449,35513.7,14651.6215,375,35513.7,1.0,1.0
Synthetic portfolio data,2023-01,1,81,120,9330.12,3911.514,375,35513.7,0.216,0.2627188943984997
Synthetic portfolio data,2023-01,2,112,163,14357.98,5869.641,375,35513.7,0.2986666666666667,0.4042941174814227
Synthetic portfolio data,2023-01,3,104,138,9808.4,3628.4075,375,35513.7,0.2773333333333333,0.276186373146138
Synthetic portfolio data,2023-01,4,126,206,18114.02,7453.592,375,35513.7,0.336,0.5100572455137032
Synthetic portfolio data,2023-01,5,119,204,15863.11,6527.8255,375,35513.7,0.3173333333333333,0.4466757899064305
Synthetic portfolio data,2023-01,6,113,192,16478.28,6606.652,375,35513.7,0.3013333333333333,0.4639978374542782
Synthetic portfolio data,2023-01,7,109,163,13526.13,5570.6,375,35513.7,0.2906666666666667,0.3808707625507903
Synthetic portfolio data,2023-01,8,115,182,17453.13,7567.783,375,35513.7,0.3066666666666666,0.4914478074658512
Synthetic portfolio data,2023-01,9,99,158,12639.72,5088.093,375,35513.7,0.264,0.3559110990969682
Synthetic portfolio data,2023-01,10,160,287,27338.57121919354,14790.142219193542,375,35513.7,0.4266666666666667,0.7698035186193932
Synthetic portfolio data,2023-01,11,166,325,22272.24,7167.0015,375,35513.7,0.4426666666666666,0.6271450172750236
Synthetic portfolio data,2023-01,12,114,179,14373.03128030178,6071.695280301779,375,35513.7,0.304,0.4047179336510073
Synthetic portfolio data,2023-02,0,275,309,24550.47,9475.969,275,24550.47,1.0,1.0
Synthetic portfolio data,2023-02,1,62,83,7286.1,3248.8465,275,24550.47,0.2254545454545454,0.2967804689686185
Synthetic portfolio data,2023-02,2,54,71,5727.45,2200.7525,275,24550.47,0.1963636363636363,0.2332928860425075
Synthetic portfolio data,2023-02,3,63,82,6916.45,3150.824,275,24550.47,0.2290909090909091,0.2817237307473135
Synthetic portfolio data,2023-02,4,62,90,6440.7,2432.9655,275,24550.47,0.2254545454545454,0.2623452830027286
Synthetic portfolio data,2023-02,5,70,101,8746.74392228192,3722.60342228192,275,24550.47,0.2545454545454545,0.356276027395073
Synthetic portfolio data,2023-02,6,49,60,5451.63,2036.749,275,24550.47,0.1781818181818182,0.2220580705786895
Synthetic portfolio data,2023-02,7,57,73,5848.66,2679.3935,275,24550.47,0.2072727272727272,0.2382300623979907
Synthetic portfolio data,2023-02,8,63,75,5673.85,2016.9655,275,24550.47,0.2290909090909091,0.231109628451105
