data_context,product_id,sku,product_name,category,sub_category,base_price,unit_cost,margin_rate,lifecycle_stage,profitability_profile,return_profile,retention_profile,launch_date,orders,units,customers,repeat_customers,gross_revenue,net_revenue,return_adjusted_profit,discount_amount,returns,avg_discount_rate,return_rate,return_adjusted_margin,repeat_customer_rate,discount_dependency,product_performance_flag
Synthetic portfolio data,P000197,HOM-BED-000197,Bedding Home Item 0197,Home,Bedding,138.7,93.27,0.3276,Launch,Core Margin,Low,Retention Driver,2021-06-28,373,581,241,361,87746.88450271715,76258.88450271715,28807.77200271715,8586.93060539552,49,0.0902077747989276,0.131367292225201,0.377762829742031,0.967828418230563,0.1012062951420036,Low Margin High Volume
Synthetic portfolio data,P000118,OUT-TRA-000118,Travel Outdoor Item 0118,Outdoor,Travel,148.45,61.16,0.588,Mature,Premium Margin,Low,Retention Driver,2024-03-20,168,255,129,160,37876.38216386951,33339.49216386951,19407.244163869505,3026.2517343663367,19,0.0737994047619047,0.1130952380952381,0.5821097714530102,0.9523809523809524,0.0832170996648619,Stable
Synthetic portfolio data,P000020,APP-BAS-000020,Basics Apparel Item 0020,Apparel,Basics,153.57,76.6,0.5012,Growth,Core Margin,Medium,Neutral,2024-03-18,214,342,169,205,50397.44,41613.41,19322.81,5188.6649206031125,38,0.0894434579439252,0.1775700934579439,0.4643409420184503,0.9579439252336448,0.1108639933038304,Stable
Synthetic portfolio data,P000194,OUT-GAR-000194,Garden Outdoor Item 0194,Outdoor,Garden,182.5,88.85,0.5131,Growth,Core Margin,Low,Churn Correlated,2021-04-06,134,225,103,131,39202.13,33617.7,16043.17,3883.767610200302,17,0.0934447761194029,0.126865671641791,0.4772239028844924,0.9776119402985076,0.1035630831990139,Stable
Synthetic portfolio data,P000210,OUT-CAM-000210,Camping Outdoor Item 0210,Outdoor,Camping,162.44,77.5,0.5229,Mature,Premium Margin,Low,Neutral,2024-08-16,134,211,110,125,33317.13,30432.56,15265.81,2967.8978496058535,13,0.083105223880597,0.0970149253731343,0.5016275331421346,0.9328358208955224,0.0888579989822168,Stable
Synthetic portfolio data,P000093,OUT-FIT-000093,Fitness Outdoor Item 0093,Outdoor,Fitness,174.32,83.52,0.5209,Mature,Premium Margin,Low,Retention Driver,2024-05-21,132,199,98,121,33489.88,29174.96,14329.28,2922.0810482755373,17,0.0863128787878787,0.1287878787878787,0.4911499450213471,0.9166666666666666,0.0910389541478475,Stable
Synthetic portfolio data,P000230,APP-BAS-000230,Basics Apparel Item 0230,Apparel,Basics,72.41,30.99,0.5719,Mature,Premium Margin,Medium,Neutral,2023-07-20,292,482,235,279,34408.57179587488,26469.09,14166.06,3289.4786052023155,53,0.0940534246575342,0.1815068493150685,0.5351925585654814,0.9554794520547946,0.1105388719747514,Stable
Synthetic portfolio data,P000220,HOM-KIT-000220,Kitchen Home Item 0220,Home,Kitchen,100.5,55.29,0.4499,Growth,Core Margin,Medium,Neutral,2024-07-04,241,385,170,232,38475.8823976767,32550.262397676703,14130.398897676703,4103.114548969953,39,0.0907232365145228,0.1618257261410788,0.4341101378858706,0.9626556016597512,0.1119436977101052,Stable
Synthetic portfolio data,P000167,OUT-FIT-000167,Fitness Outdoor Item 0167,Outdoor,Fitness,81.95,45.32,0.447,Growth,Core Margin,Low,Neutral,2024-02-09,302,459,207,301,36598.82,30810.36,12782.064,3066.699297200974,39,0.0768625827814569,0.1291390728476821,0.4148625332518023,0.9966887417218544,0.0905243654798087,Retention Driver
Synthetic portfolio data,P000188,HOM-KIT-000188,Kitchen Home Item 0188,Home,Kitchen,137.44,54.64,0.6024,Mature,Premium Margin,Low,Neutral,2022-10-12,118,197,97,117,26023.52,21036.47,11990.818,2565.155333223462,12,0.0908957627118644,0.1016949152542373,0.5700014308484265,0.9915254237288136,0.1086855374156182,Retention Driver
Synthetic portfolio data,P000169,HOM-KIT-000169,Kitchen Home Item 0169,Home,Kitchen,61.17,23.72,0.6122,Mature,Premium Margin,Low,Neutral,2023-06-19,269,407,194,264,24042.58,20378.16,11933.84,2273.906455530137,35,0.0927260223048327,0.1301115241635687,0.5856191137963388,0.9814126394052044,0.1003840625310808,Stable
Synthetic portfolio data,P000153,OUT-CAM-000153,Camping Outdoor Item 0153,Outdoor,Camping,82.68,34.23,0.586,Launch,Premium Margin,Medium,Neutral,2022-03-25,185,290,138,179,23266.98,19236.23,10793.4005,2138.141204649104,35,0.0840875675675675,0.1891891891891892,0.5610974967548215,0.9675675675675676,0.1000329405799802,Stable
Synthetic portfolio data,P000104,HOM-DEC-000104,Decor Home Item 0104,Home,Decor,123.56,55.94,0.5473,Mature,Premium Margin,Low,Neutral,2025-12-08,94,158,82,90,18994.14,17624.37,9356.438,1656.6488846245811,10,0.0834117021276595,0.1063829787234042,0.5308807066578834,0.9574468085106383,0.0859212313694509,Stable
Synthetic portfolio data,P000043,ELE-AUD-000043,Audio Electronics Item 0043,Electronics,Audio,207.26,110.3,0.4678,Growth,Core Margin,Medium,Neutral,2024-03-27,75,124,61,74,23970.01,21701.49,9055.595,2552.80804761376,9,0.0888186666666666,0.12,0.4172798734096137,0.9866666666666668,0.1052517802247802,Retention Driver
Synthetic portfolio data,P000246,PET-WEL-000246,Wellness Pet Item 0246,Pet,Wellness,45.53,21.64,0.5248,Mature,Premium Margin,Low,Neutral,2024-02-17,305,494,199,293,21727.82,18270.94,9052.3,2131.41244100855,46,0.0824380327868852,0.1508196721311475,0.4954479627211298,0.960655737704918,0.1044689550958069,Stable
Synthetic portfolio data,P000195,OUT-CAM-000195,Camping Outdoor Item 0195,Outdoor,Camping,184.71,107.44,0.4183,Mature,Core Margin,Medium,Retention Driver,2024-09-29,97,158,75,93,28170.27,23358.17,8757.074,2533.978230013327,13,0.0837515463917525,0.134020618556701,0.374904112779383,0.9587628865979382,0.0978666662766909,Stable
Synthetic portfolio data,P000130,APP-OUT-000130,Outerwear Apparel Item 0130,Apparel,Outerwear,64.97,29.45,0.5467,Launch,Premium Margin,High,Neutral,2023-03-07,232,361,178,226,22686.31,16555.01,8301.6475,2082.1915924228897,62,0.0783905172413793,0.2672413793103448,0.5014583198681245,0.9741379310344828,0.111722330313228,Return Heavy
Synthetic portfolio data,P000177,OUT-TRA-000177,Travel Outdoor Item 0177,Outdoor,Travel,94.12,48.79,0.4817,Launch,Core Margin,Low,Churn Correlated,2024-10-17,151,225,115,147,20619.16,18013.19,8279.585,1834.1272838096204,15,0.0790887417218543,0.0993377483443708,0.4596401303711336,0.9735099337748344,0.0924118487945876,Stable
Synthetic portfolio data,P000053,HOM-BED-000053,Bedding Home Item 0053,Home,Bedding,89.0,32.03,0.6402,Mature,Premium Margin,Low,Neutral,2024-03-01,114,175,95,109,14837.06,13146.86,8113.3455,1548.234188493408,16,0.0926657894736842,0.1403508771929824,0.6171318094206525,0.956140350877193,0.1053572143624441,Stable
Synthetic portfolio data,P000042,ELE-SMA-000042,Smart Home Electronics Item 0042,Electronics,Smart Home,51.42,22.0,0.5721,Growth,Premium Margin,Medium,Neutral,2021-04-15,233,366,181,223,17730.34,13794.84,7220.14,1624.8609289878373,47,0.0821429184549356,0.2017167381974249,0.5233942546633379,0.9570815450643776,0.1053756448630741,Stable
