data_context,segment_name,churn_risk_tier,customer_count,clv_or_value,revenue_exposure,deteriorating_customers,primary_driver,secondary_driver,segment_migration_signal,experiment_evidence,recommended_review,priority_score,priority,estimated_opportunity,evidence,review_status
Synthetic portfolio data,Discount-driven Buyers,Critical,1054,137275.19036657122,98296.87413168524,113,recency_days,orders,DETERIORATING,lift=0.0278; p=0.0015; practical=True,RETENTION_OUTREACH_CANDIDATE,110,HIGH,98296.87413168524,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers,Critical,2174,23482.910192875464,11919.860823681864,1795,recency_days,orders,DETERIORATING,lift=0.0278; p=0.0015; practical=True,RETENTION_OUTREACH_CANDIDATE,110,HIGH,11919.860823681864,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,High Value Loyal Customers 2,Critical,2,1191.986905775242,1107.3484833119105,2,recency_days,orders,DETERIORATING,lift=0.0278; p=0.0015; practical=True,RETENTION_OUTREACH_CANDIDATE,110,HIGH,1107.3484833119105,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers 2,Critical,133,2080.0595132750923,25.585994665720136,4,recency_days,orders,DETERIORATING,lift=0.0278; p=0.0015; practical=True,RETENTION_OUTREACH_CANDIDATE,110,HIGH,25.585994665720136,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,Discount-driven Buyers,High,133,20828.90620977747,10688.016257404748,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,WINBACK_ANALYSIS,75,HIGH,10688.016257404748,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,High Value Loyal Customers 2,High,4,3034.338281595884,1341.5238773765648,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,WINBACK_ANALYSIS,75,HIGH,1341.5238773765648,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers,High,4,184.25403710418243,54.176523288276,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,WINBACK_ANALYSIS,75,HIGH,54.176523288276,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers 2,High,7,42.43886221695874,0.0,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,WINBACK_ANALYSIS,75,HIGH,0.0,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,Discount-driven Buyers,Medium,182,29841.521992172133,8066.280507837366,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,50,MEDIUM,8066.280507837366,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,High Value Loyal Customers 2,Medium,2,1262.1822547415677,473.8537855809515,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,50,MEDIUM,473.8537855809515,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers,Medium,9,335.6497205310413,77.69351779099082,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,50,MEDIUM,77.69351779099082,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers 2,Medium,6,-21.984754299346356,4.6728355309940115,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,50,MEDIUM,4.6728355309940115,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,Discount-driven Buyers,Low,823,206509.6923109149,8468.686293541185,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,25,LOW,8468.686293541185,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,High Value Loyal Customers 2,Low,430,513576.2629465429,3214.4358340987674,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,25,LOW,3214.4358340987674,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,High Value Loyal Customers,Low,29,139624.17788394625,620.1363825824027,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,25,LOW,620.1363825824027,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers,Low,2,147.42230870570984,6.936293767398976,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,25,LOW,6.936293767398976,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
Synthetic portfolio data,One-time Buyers 2,Low,6,69.08810773739131,0.0,0,recency_days,orders,STABLE_OR_IMPROVING,lift=0.0278; p=0.0015; practical=True,MONITOR,25,LOW,0.0,"Governed churn, CLV, migration, driver, and synthetic experiment outputs",NEEDS_REVIEW
