customer_id,segment,churn_probability,clv_band,recommended_action,recommended_product_category,priority_score,campaign_reason
C00036002,High Value Loyal Customers 2,1.0,Elite,Retention save journey,Beauty,91.7,High churn probability with measurable profit or CLV at risk.
C00038534,High Value Loyal Customers 2,1.0,Elite,Retention save journey,Beauty,91.63,High churn probability with measurable profit or CLV at risk.
C00132777,High Value Loyal Customers 2,1.0,Elite,Retention save journey,Beauty,91.61,High churn probability with measurable profit or CLV at risk.
C00170927,High Value Loyal Customers 2,1.0,Elite,Retention save journey,Beauty,91.6,High churn probability with measurable profit or CLV at risk.
C00105639,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.56,High churn probability with measurable profit or CLV at risk.
C00216718,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.45,High churn probability with measurable profit or CLV at risk.
C00238878,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.29,High churn probability with measurable profit or CLV at risk.
C00007872,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.26,High churn probability with measurable profit or CLV at risk.
C00103267,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.25,High churn probability with measurable profit or CLV at risk.
C00019156,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.24,High churn probability with measurable profit or CLV at risk.
C00144768,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.22,High churn probability with measurable profit or CLV at risk.
C00051658,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.22,High churn probability with measurable profit or CLV at risk.
C00182411,Discount-driven Buyers,1.0,Elite,Retention save journey,Beauty,91.17,High churn probability with measurable profit or CLV at risk.
C00138929,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.65,High churn probability with measurable profit or CLV at risk.
C00224935,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.55,High churn probability with measurable profit or CLV at risk.
C00190487,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.5,High churn probability with measurable profit or CLV at risk.
C00154026,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.41,High churn probability with measurable profit or CLV at risk.
C00235513,High Value Loyal Customers 2,1.0,High,Retention save journey,Beauty,90.4,High churn probability with measurable profit or CLV at risk.
C00168708,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.39,High churn probability with measurable profit or CLV at risk.
C00019560,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.39,High churn probability with measurable profit or CLV at risk.
C00033499,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.36,High churn probability with measurable profit or CLV at risk.
C00072056,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.26,High churn probability with measurable profit or CLV at risk.
C00117990,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,90.0,High churn probability with measurable profit or CLV at risk.
C00018750,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.98,High churn probability with measurable profit or CLV at risk.
C00010707,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.93,High churn probability with measurable profit or CLV at risk.
C00234336,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.92,High churn probability with measurable profit or CLV at risk.
C00234162,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.89,High churn probability with measurable profit or CLV at risk.
C00142691,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.87,High churn probability with measurable profit or CLV at risk.
C00170406,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.82,High churn probability with measurable profit or CLV at risk.
C00243121,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.81,High churn probability with measurable profit or CLV at risk.
C00143030,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.67,High churn probability with measurable profit or CLV at risk.
C00229881,Discount-driven Buyers,1.0,High,Retention save journey,Apparel,89.63,High churn probability with measurable profit or CLV at risk.
C00054929,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.55,High churn probability with measurable profit or CLV at risk.
C00244684,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.49,High churn probability with measurable profit or CLV at risk.
C00172640,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.49,High churn probability with measurable profit or CLV at risk.
C00112494,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.44,High churn probability with measurable profit or CLV at risk.
C00007622,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.38,High churn probability with measurable profit or CLV at risk.
C00082906,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.12,High churn probability with measurable profit or CLV at risk.
C00243881,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.11,High churn probability with measurable profit or CLV at risk.
C00200108,Discount-driven Buyers,1.0,High,Retention save journey,Apparel,89.09,High churn probability with measurable profit or CLV at risk.
C00245452,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.08,High churn probability with measurable profit or CLV at risk.
C00037286,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.07,High churn probability with measurable profit or CLV at risk.
C00229288,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.04,High churn probability with measurable profit or CLV at risk.
C00209206,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.04,High churn probability with measurable profit or CLV at risk.
C00024529,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,89.02,High churn probability with measurable profit or CLV at risk.
C00024516,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.95,High churn probability with measurable profit or CLV at risk.
C00089996,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.94,High churn probability with measurable profit or CLV at risk.
C00207788,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.92,High churn probability with measurable profit or CLV at risk.
C00209286,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.92,High churn probability with measurable profit or CLV at risk.
C00065645,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.88,High churn probability with measurable profit or CLV at risk.
C00194798,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.86,High churn probability with measurable profit or CLV at risk.
C00193729,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.84,High churn probability with measurable profit or CLV at risk.
C00218660,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.83,High churn probability with measurable profit or CLV at risk.
C00176446,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.81,High churn probability with measurable profit or CLV at risk.
C00231029,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.79,High churn probability with measurable profit or CLV at risk.
C00003973,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.77,High churn probability with measurable profit or CLV at risk.
C00058994,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.77,High churn probability with measurable profit or CLV at risk.
C00064764,Discount-driven Buyers,1.0,High,Retention save journey,Apparel,88.75,High churn probability with measurable profit or CLV at risk.
C00170884,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.71,High churn probability with measurable profit or CLV at risk.
C00200240,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.69,High churn probability with measurable profit or CLV at risk.
C00092074,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.67,High churn probability with measurable profit or CLV at risk.
C00044653,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.62,High churn probability with measurable profit or CLV at risk.
C00204352,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.59,High churn probability with measurable profit or CLV at risk.
C00060802,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.58,High churn probability with measurable profit or CLV at risk.
C00029628,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.57,High churn probability with measurable profit or CLV at risk.
C00105046,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.52,High churn probability with measurable profit or CLV at risk.
C00228570,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.52,High churn probability with measurable profit or CLV at risk.
C00141862,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.51,High churn probability with measurable profit or CLV at risk.
C00199125,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.5,High churn probability with measurable profit or CLV at risk.
C00048719,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.48,High churn probability with measurable profit or CLV at risk.
C00247392,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.45,High churn probability with measurable profit or CLV at risk.
C00037090,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.44,High churn probability with measurable profit or CLV at risk.
C00209939,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.32,High churn probability with measurable profit or CLV at risk.
C00078372,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.31,High churn probability with measurable profit or CLV at risk.
C00003013,Discount-driven Buyers,1.0,High,Retention save journey,Beauty,88.29,High churn probability with measurable profit or CLV at risk.
