customer_id,segment,churn_probability,clv_band,recommended_action,recommended_product_category,priority_score,campaign_reason
C00007872,Discount-driven Buyers,1.0,Elite,Margin-controlled promotion,Beauty,91.26,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00053998,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Apparel,83.21,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00171646,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,82.08,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00160966,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,81.56,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00030529,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,80.93,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00210009,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,80.4,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00007312,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,79.48,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00235217,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,78.93,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00212443,Discount-driven Buyers,1.0,Mid,Margin-controlled promotion,Beauty,78.5,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00187085,One-time Buyers 2,1.0,Mid,Margin-controlled promotion,Beauty,77.55,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00100449,One-time Buyers,1.0,Low,Margin-controlled promotion,Beauty,76.86,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00185864,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,76.47,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00028254,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,76.33,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00116592,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,76.32,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00223717,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.98,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00173080,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.96,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00080423,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.68,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00021670,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.63,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00178320,Discount-driven Buyers,0.9999999996329952,Mid,Margin-controlled promotion,Beauty,75.62,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00194120,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.58,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00064354,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.37,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00191612,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,75.31,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00242384,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,74.83,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00061708,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,74.52,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00076882,High Value Loyal Customers 2,0.9999541991403708,High,Margin-controlled promotion,Beauty,74.45,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
C00038760,Discount-driven Buyers,1.0,Low,Margin-controlled promotion,Beauty,74.21,Customer shows high discount dependency and should receive controlled offers rather than blanket discounts.
