customer_id,segment,churn_probability,clv_band,recommended_action,recommended_product_category,priority_score,campaign_reason
C00036002,High Value Loyal Customers 2,1.0,Elite,VIP retention treatment,Beauty,91.7,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00038534,High Value Loyal Customers 2,1.0,Elite,VIP retention treatment,Beauty,91.63,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00132777,High Value Loyal Customers 2,1.0,Elite,VIP retention treatment,Beauty,91.61,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00170927,High Value Loyal Customers 2,1.0,Elite,VIP retention treatment,Beauty,91.6,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00105639,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.56,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00216718,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.45,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00238878,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.29,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00007872,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.26,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00103267,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.25,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00019156,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.24,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00051658,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.22,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00144768,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.22,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00182411,Discount-driven Buyers,1.0,Elite,VIP retention treatment,Beauty,91.17,Customer is in the top predicted CLV population and should be protected from preventable churn.
C00138929,Discount-driven Buyers,1.0,High,VIP retention treatment,Beauty,90.65,Customer is in the top predicted CLV population and should be protected from preventable churn.
