customer_id,segment,churn_probability,clv_band,recommended_action,recommended_product_category,priority_score,campaign_reason
C00036002,High Value Loyal Customers 2,1.0,Elite,Loyalty upgrade offer,Beauty,91.7,High-value customer is not yet in the highest loyalty tier.
C00038534,High Value Loyal Customers 2,1.0,Elite,Loyalty upgrade offer,Beauty,91.63,High-value customer is not yet in the highest loyalty tier.
C00132777,High Value Loyal Customers 2,1.0,Elite,Loyalty upgrade offer,Beauty,91.61,High-value customer is not yet in the highest loyalty tier.
C00170927,High Value Loyal Customers 2,1.0,Elite,Loyalty upgrade offer,Beauty,91.6,High-value customer is not yet in the highest loyalty tier.
C00105639,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.56,High-value customer is not yet in the highest loyalty tier.
C00216718,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.45,High-value customer is not yet in the highest loyalty tier.
C00238878,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.29,High-value customer is not yet in the highest loyalty tier.
C00007872,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.26,High-value customer is not yet in the highest loyalty tier.
C00103267,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.25,High-value customer is not yet in the highest loyalty tier.
C00019156,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.24,High-value customer is not yet in the highest loyalty tier.
C00051658,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.22,High-value customer is not yet in the highest loyalty tier.
C00144768,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.22,High-value customer is not yet in the highest loyalty tier.
C00182411,Discount-driven Buyers,1.0,Elite,Loyalty upgrade offer,Beauty,91.17,High-value customer is not yet in the highest loyalty tier.
C00138929,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.65,High-value customer is not yet in the highest loyalty tier.
C00224935,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.55,High-value customer is not yet in the highest loyalty tier.
C00190487,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.5,High-value customer is not yet in the highest loyalty tier.
C00154026,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.41,High-value customer is not yet in the highest loyalty tier.
C00235513,High Value Loyal Customers 2,1.0,High,Loyalty upgrade offer,Beauty,90.4,High-value customer is not yet in the highest loyalty tier.
C00019560,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.39,High-value customer is not yet in the highest loyalty tier.
C00168708,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.39,High-value customer is not yet in the highest loyalty tier.
C00033499,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.36,High-value customer is not yet in the highest loyalty tier.
C00072056,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.26,High-value customer is not yet in the highest loyalty tier.
C00117990,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,90.0,High-value customer is not yet in the highest loyalty tier.
C00018750,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.98,High-value customer is not yet in the highest loyalty tier.
C00010707,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.93,High-value customer is not yet in the highest loyalty tier.
C00234336,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.92,High-value customer is not yet in the highest loyalty tier.
C00234162,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.89,High-value customer is not yet in the highest loyalty tier.
C00142691,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.87,High-value customer is not yet in the highest loyalty tier.
C00170406,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.82,High-value customer is not yet in the highest loyalty tier.
C00243121,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.81,High-value customer is not yet in the highest loyalty tier.
C00143030,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.67,High-value customer is not yet in the highest loyalty tier.
C00229881,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Apparel,89.63,High-value customer is not yet in the highest loyalty tier.
C00054929,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.55,High-value customer is not yet in the highest loyalty tier.
C00172640,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.49,High-value customer is not yet in the highest loyalty tier.
C00244684,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.49,High-value customer is not yet in the highest loyalty tier.
C00112494,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.44,High-value customer is not yet in the highest loyalty tier.
C00007622,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.38,High-value customer is not yet in the highest loyalty tier.
C00082906,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.12,High-value customer is not yet in the highest loyalty tier.
C00243881,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.11,High-value customer is not yet in the highest loyalty tier.
C00200108,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Apparel,89.09,High-value customer is not yet in the highest loyalty tier.
C00245452,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.08,High-value customer is not yet in the highest loyalty tier.
C00037286,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.07,High-value customer is not yet in the highest loyalty tier.
C00229288,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.04,High-value customer is not yet in the highest loyalty tier.
C00209206,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.04,High-value customer is not yet in the highest loyalty tier.
C00024529,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,89.02,High-value customer is not yet in the highest loyalty tier.
C00024516,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.95,High-value customer is not yet in the highest loyalty tier.
C00089996,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.94,High-value customer is not yet in the highest loyalty tier.
C00207788,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.92,High-value customer is not yet in the highest loyalty tier.
C00209286,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.92,High-value customer is not yet in the highest loyalty tier.
C00065645,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.88,High-value customer is not yet in the highest loyalty tier.
C00194798,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.86,High-value customer is not yet in the highest loyalty tier.
C00193729,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.84,High-value customer is not yet in the highest loyalty tier.
C00218660,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.83,High-value customer is not yet in the highest loyalty tier.
C00176446,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.81,High-value customer is not yet in the highest loyalty tier.
C00231029,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.79,High-value customer is not yet in the highest loyalty tier.
C00058994,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.77,High-value customer is not yet in the highest loyalty tier.
C00003973,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.77,High-value customer is not yet in the highest loyalty tier.
C00064764,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Apparel,88.75,High-value customer is not yet in the highest loyalty tier.
C00170884,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.71,High-value customer is not yet in the highest loyalty tier.
C00200240,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.69,High-value customer is not yet in the highest loyalty tier.
C00092074,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.67,High-value customer is not yet in the highest loyalty tier.
C00044653,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.62,High-value customer is not yet in the highest loyalty tier.
C00204352,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.59,High-value customer is not yet in the highest loyalty tier.
C00060802,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.58,High-value customer is not yet in the highest loyalty tier.
C00029628,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.57,High-value customer is not yet in the highest loyalty tier.
C00228570,Discount-driven Buyers,1.0,High,Loyalty upgrade offer,Beauty,88.52,High-value customer is not yet in the highest loyalty tier.
