customer_id,segment,churn_probability,clv_band,recommended_action,recommended_product_category,priority_score,campaign_reason
C00036002,High Value Loyal Customers 2,1.0,Elite,Win-back journey,Beauty,91.7,Customer has lapsed or has not converted beyond the first order.
C00038534,High Value Loyal Customers 2,1.0,Elite,Win-back journey,Beauty,91.63,Customer has lapsed or has not converted beyond the first order.
C00132777,High Value Loyal Customers 2,1.0,Elite,Win-back journey,Beauty,91.61,Customer has lapsed or has not converted beyond the first order.
C00170927,High Value Loyal Customers 2,1.0,Elite,Win-back journey,Beauty,91.6,Customer has lapsed or has not converted beyond the first order.
C00105639,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.56,Customer has lapsed or has not converted beyond the first order.
C00216718,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.45,Customer has lapsed or has not converted beyond the first order.
C00238878,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.29,Customer has lapsed or has not converted beyond the first order.
C00007872,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.26,Customer has lapsed or has not converted beyond the first order.
C00103267,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.25,Customer has lapsed or has not converted beyond the first order.
C00019156,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.24,Customer has lapsed or has not converted beyond the first order.
C00144768,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.22,Customer has lapsed or has not converted beyond the first order.
C00051658,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.22,Customer has lapsed or has not converted beyond the first order.
C00182411,Discount-driven Buyers,1.0,Elite,Win-back journey,Beauty,91.17,Customer has lapsed or has not converted beyond the first order.
C00138929,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.65,Customer has lapsed or has not converted beyond the first order.
C00224935,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.55,Customer has lapsed or has not converted beyond the first order.
C00190487,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.5,Customer has lapsed or has not converted beyond the first order.
C00154026,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.41,Customer has lapsed or has not converted beyond the first order.
C00235513,High Value Loyal Customers 2,1.0,High,Win-back journey,Beauty,90.4,Customer has lapsed or has not converted beyond the first order.
C00168708,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.39,Customer has lapsed or has not converted beyond the first order.
C00019560,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.39,Customer has lapsed or has not converted beyond the first order.
C00033499,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.36,Customer has lapsed or has not converted beyond the first order.
C00072056,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.26,Customer has lapsed or has not converted beyond the first order.
C00117990,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,90.0,Customer has lapsed or has not converted beyond the first order.
C00018750,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.98,Customer has lapsed or has not converted beyond the first order.
C00010707,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.93,Customer has lapsed or has not converted beyond the first order.
C00234336,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.92,Customer has lapsed or has not converted beyond the first order.
C00234162,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.89,Customer has lapsed or has not converted beyond the first order.
C00142691,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.87,Customer has lapsed or has not converted beyond the first order.
C00170406,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.82,Customer has lapsed or has not converted beyond the first order.
C00243121,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.81,Customer has lapsed or has not converted beyond the first order.
C00143030,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.67,Customer has lapsed or has not converted beyond the first order.
C00229881,Discount-driven Buyers,1.0,High,Win-back journey,Apparel,89.63,Customer has lapsed or has not converted beyond the first order.
C00054929,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.55,Customer has lapsed or has not converted beyond the first order.
C00172640,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.49,Customer has lapsed or has not converted beyond the first order.
C00244684,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.49,Customer has lapsed or has not converted beyond the first order.
C00112494,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.44,Customer has lapsed or has not converted beyond the first order.
C00007622,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.38,Customer has lapsed or has not converted beyond the first order.
C00082906,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.12,Customer has lapsed or has not converted beyond the first order.
C00243881,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.11,Customer has lapsed or has not converted beyond the first order.
C00200108,Discount-driven Buyers,1.0,High,Win-back journey,Apparel,89.09,Customer has lapsed or has not converted beyond the first order.
C00245452,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.08,Customer has lapsed or has not converted beyond the first order.
C00037286,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.07,Customer has lapsed or has not converted beyond the first order.
C00229288,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.04,Customer has lapsed or has not converted beyond the first order.
C00209206,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.04,Customer has lapsed or has not converted beyond the first order.
C00024529,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,89.02,Customer has lapsed or has not converted beyond the first order.
C00024516,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,88.95,Customer has lapsed or has not converted beyond the first order.
C00089996,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,88.94,Customer has lapsed or has not converted beyond the first order.
C00207788,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,88.92,Customer has lapsed or has not converted beyond the first order.
C00209286,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,88.92,Customer has lapsed or has not converted beyond the first order.
C00065645,Discount-driven Buyers,1.0,High,Win-back journey,Beauty,88.88,Customer has lapsed or has not converted beyond the first order.
